id,key,value,type
137442397,noexit,yes,regular
137442745,source,Bing,regular
137442745,highway,turning_circle,regular
137443788,highway,traffic_signals,regular
137443788,crossing,traffic_signals,regular
137444781,highway,turning_circle,regular
137446026,noexit,yes,regular
137446075,noexit,yes,regular
137446100,source,bing,regular
137446100,highway,turning_circle,regular
137446298,source,Bing,regular
137446298,highway,turning_circle,regular
137446441,highway,turning_circle,regular
137446467,highway,turning_circle,regular
137447644,highway,turning_circle,regular
137447731,source,Bing,regular
137447731,highway,turning_circle,regular
137447831,source,bing,regular
137447831,highway,turning_circle,regular
137447928,highway,turning_circle,regular
137448898,highway,turning_circle,regular
137450480,highway,turning_circle,regular
137451103,highway,turning_circle,regular
137452058,highway,turning_circle,regular
137452284,highway,turning_circle,regular
137452768,highway,turning_circle,regular
137453525,source,Yahoo,regular
137453525,highway,turning_circle,regular
137453544,highway,turning_circle,regular
137453781,source,Yahoo,regular
137453781,highway,turning_circle,regular
137454041,highway,turning_circle,regular
137454651,source,Bing,regular
137454651,highway,turning_circle,regular
137454662,highway,turning_circle,regular
137454677,highway,turning_circle,regular
137454821,highway,turning_circle,regular
137454843,source,Bing,regular
137454843,highway,turning_circle,regular
137455377,highway,turning_circle,regular
137455642,highway,traffic_signals,regular
137455829,highway,turning_circle,regular
137455861,source,Yahoo,regular
137455861,highway,turning_circle,regular
137456015,highway,turning_circle,regular
137456250,highway,turning_circle,regular
137456470,highway,turning_circle,regular
137457611,highway,turning_circle,regular
137458524,highway,turning_circle,regular
137458564,highway,turning_circle,regular
137458740,highway,turning_circle,regular
137459008,highway,turning_circle,regular
137459426,highway,turning_circle,regular
137461012,highway,turning_circle,regular
137461269,highway,traffic_signals,regular
137462175,source,bing,regular
137462175,highway,turning_circle,regular
137463020,highway,turning_circle,regular
137464112,highway,turning_circle,regular
137464379,highway,turning_circle,regular
137464984,highway,turning_circle,regular
137465338,source,Yahoo,regular
137465338,highway,turning_circle,regular
137465618,highway,turning_circle,regular
137465823,highway,turning_circle,regular
137465857,highway,turning_circle,regular
137466108,highway,turning_circle,regular
137466473,highway,traffic_signals,regular
137466704,highway,turning_circle,regular
137466945,highway,traffic_signals,regular
137467177,source,Bing,regular
137467177,highway,turning_circle,regular
137467262,source,bing,regular
137467262,highway,turning_circle,regular
137468384,highway,turning_circle,regular
137468397,highway,turning_circle,regular
